time	count
111819.00	0.00
111864.00	1.00
111870.00	0.00
111920.00	1.00
111925.00	0.00
111984.00	1.00
111989.00	0.00
112048.00	1.00
112054.00	0.00
112155.00	1.00
112161.00	0.00
112215.00	1.00
112222.00	0.00
112284.00	1.00
112290.00	0.00
112382.00	1.00
112388.00	0.00
112416.00	1.00
112420.00	0.00
112455.00	1.00
112459.00	0.00
112526.00	1.00
112531.00	0.00
112577.00	1.00
112582.00	0.00
112686.00	1.00
112696.00	0.00
112776.00	1.00
112781.00	0.00
112808.00	1.00
112813.00	0.00
112838.00	1.00
112842.00	0.00
112902.00	1.00
112909.00	0.00
112941.00	1.00
112948.00	0.00
112993.00	1.00
112999.00	0.00
113061.00	1.00
113069.00	0.00
113109.00	1.00
113113.00	0.00
113161.00	1.00
113166.00	0.00
113223.00	1.00
113228.00	0.00
113284.00	1.00
113291.00	0.00
113340.00	1.00
113345.00	0.00
113465.00	1.00
113472.00	0.00
113540.00	1.00
113547.00	0.00
113619.00	1.00
113624.00	0.00
113831.00	1.00
113902.00	0.00
113962.00	1.00
113968.00	0.00
114070.00	1.00
114109.00	0.00
114163.00	1.00
114191.00	0.00
114219.00	1.00
114223.00	0.00
114243.00	1.00
